iter	Passed	Remaining
0	59	59608
1	60	30107
2	60	20261
3	61	15320
4	62	12358
5	62	10388
6	63	8974
7	63	7914
8	64	7088
9	64	6428
10	65	5889
11	66	5441
12	66	5059
13	67	4730
14	67	4445
15	68	4197
16	68	3978
17	69	3783
18	69	3609
19	70	3453
20	71	3312
21	71	3183
22	72	3066
23	72	2958
24	73	2858
25	73	2768
26	74	2682
27	74	2603
28	75	2526
29	76	2458
30	76	2397
31	77	2341
32	77	2285
33	78	2232
34	79	2182
35	79	2134
36	80	2089
37	80	2046
38	81	2005
39	81	1967
40	82	1931
41	83	1896
42	83	1863
43	84	1832
44	84	1801
45	85	1772
46	86	1745
47	86	1717
48	87	1691
49	87	1666
50	88	1642
51	88	1620
52	89	1596
53	89	1574
54	90	1554
55	90	1533
56	91	1514
57	92	1496
58	92	1477
59	93	1459
60	93	1442
61	94	1427
62	94	1411
63	95	1395
64	95	1380
65	96	1365
66	97	1352
67	97	1334
68	97	1321
69	98	1308
70	98	1295
71	99	1282
72	100	1271
73	100	1259
74	101	1248
75	101	1237
76	102	1227
77	102	1216
78	103	1205
79	104	1196
80	104	1187
81	105	1177
82	105	1168
83	106	1159
84	106	1147
85	107	1138
86	107	1128
87	108	1119
88	108	1111
89	109	1102
90	109	1095
91	110	1087
92	110	1079
93	111	1072
94	111	1065
95	112	1057
96	112	1050
97	113	1043
98	113	1035
99	114	1029
100	114	1023
101	115	1014
102	115	1007
103	116	1001
104	116	995
105	117	989
106	117	983
107	118	976
108	118	971
109	119	965
110	119	960
111	120	954
112	120	949
113	121	944
114	122	939
115	122	933
116	123	928
117	123	923
118	123	917
119	124	913
120	125	908
121	125	904
122	125	898
123	126	893
124	126	888
125	127	884
126	128	880
127	128	874
128	128	870
129	129	866
130	130	862
131	130	858
132	131	854
133	131	850
134	132	847
135	132	843
136	133	839
137	133	835
138	134	831
139	134	828
140	135	824
141	135	821
142	136	818
143	137	815
144	137	811
145	138	808
146	138	805
147	139	801
148	139	798
149	140	795
150	141	792
151	141	789
152	142	786
153	142	783
154	143	780
155	143	778
156	144	775
157	144	772
158	145	769
159	145	766
160	146	762
161	146	759
162	147	755
163	147	752
164	148	749
165	148	746
166	148	742
167	149	739
168	149	736
169	150	733
170	150	729
171	150	726
172	151	723
173	151	720
174	152	717
175	152	714
176	153	712
177	153	709
178	154	707
179	154	705
180	155	701
181	155	698
182	155	695
183	156	692
184	156	689
185	156	686
186	157	683
187	157	681
188	158	678
189	158	676
190	158	673
191	159	670
192	159	667
193	160	665
194	160	663
195	161	662
196	162	660
197	162	658
198	163	657
199	163	655
200	164	654
201	165	652
202	165	650
203	166	648
204	166	646
205	167	643
206	167	641
207	167	639
208	168	637
209	168	634
210	169	632
211	169	630
212	169	628
213	170	625
214	170	623
215	171	621
216	171	619
217	171	616
218	172	614
219	172	612
220	173	610
221	173	608
222	174	606
223	174	604
224	174	602
225	175	600
226	175	597
227	175	595
228	176	593
229	176	591
230	177	589
231	177	587
232	177	585
